,PII_HUMAN_H3K4me3,NPII_HUMAN_H3K4me3,PII_MOUSE_H3K4me3,NPII_MOUSE_H3K4me3,PII_HUMAN_H3K9ac,NPII_HUMAN_H3K9ac,PII_MOUSE_H3K9ac,NPII_MOUSE_H3K9ac,PII_HUMAN_H3K27ac,NPII_HUMAN_H3K27ac,PII_MOUSE_H3K27ac,NPII_MOUSE_H3K27ac,PII_HUMAN_H3K27me3,NPII_HUMAN_H3K27me3,PII_MOUSE_H3K27me3,NPII_MOUSE_H3K27me3,PII_HUMAN_H3K9me3,NPII_HUMAN_H3K9me3,PII_MOUSE_H3K9me3,NPII_MOUSE_H3K9me3
4-aminobutyrate_degradation,4.536627783528173,0.5802309647368695,24.926000000000002,1.50423038393299,4.577240750484391,0.9833158473887378,16.8975,1.1265,4.35493767992981,1.2770649849171796,14.302,1.6512914064033435,6.5578987274052025,1.4409579596272057,94.87950000000001,104.71195232314315,7.066924114865229,1.303700053471226,21.852999999999998,20.337831549557933
4-hydroxy-2-nonenal_detoxification,2.5074342320545626,1.720822892759145,21.42691666666667,4.566367123676921,2.8826158359386014,1.7912258525903404,18.640583333333336,5.2801946963652595,2.618391300620078,1.264475022912945,20.053916666666666,6.638794325849825,6.770944638108301,0.9674645599346429,17.794,10.017405011329679,4.266425669800829,0.7397973322105377,16.350916666666667,12.730971120093953
4-hydroxybenzoate_biosynthesis,4.779139042124374,0.6565040722547832,13.329999999999998,0.6823894380653517,5.49946621622207,1.1813001957651927,11.453,0.6640382664154224,7.6640535122150215,0.7057320693933464,12.102,0.7880907261609392,2.7495724571947546,0.5037745054992472,32.903,31.622296972609323,2.3261665298214007,0.5311466836867754,19.945,26.61462503336002
4-hydroxyproline_degradation,2.5745684001709352,2.729746568811562,23.61225,2.7786636383962717,3.5776924144501216,3.255703162464004,21.61125,2.4695255208586273,3.4152931694774122,2.0659389328418283,17.384,4.808319964595896,5.868207538910505,1.376335714335383,30.716749999999998,23.482407354318365,5.536651364921345,1.2550361236146823,18.1965,16.428394086446225
5-aminoimidazole_ribonucleotide_biosynthesis,25.82498109853795,1.9887673794395753,19.468999999999998,2.4229036513428084,32.72453492915372,1.974345502067047,13.704333333333333,1.4944638715821765,25.753572848946245,1.771005799191381,14.879,6.265633553712048,4.695935083128538,1.2726538293813372,15.879333333333333,8.88669178823266,6.513946502955462,1.4497306645854073,14.234,12.087296195652174
7-3-amino-3-carboxypropyl-wyosine_biosynthesis,12.368431983579667,0.9730094811951494,357.52899999999994,37.5715509223987,9.118353620407238,0.6861112828974035,430.9865,26.80389321641245,9.285248172041454,0.594486118568072,193.43349999999998,10.744932591946585,2.739704368592383,0.7782173724228523,37.507,45.23275446213217,6.819838418218462,0.9615731431982449,32.9045,26.427194602843148
C20_prostanoid_biosynthesis,4.973618252912546,1.1804418775700785,31.284111111111105,3.9750813561954237,5.279536719203708,1.417053383290076,42.135888888888886,3.7754556505446297,4.212288879287016,1.2186431952666903,35.288444444444444,11.219936127518867,6.1172178472506324,1.0398326478226467,29.506333333333334,17.21132657558396,4.326588756822023,0.9690294513519068,16.663888888888888,10.09769464867631
CDP-diacylglycerol_biosynthesis,3.3997992878207377,0.6593789724697273,39.639736842105265,6.570462210605843,3.8039818247788033,0.7355325922252941,40.06142105263159,5.616693489533181,4.603377078025567,0.8191312595019882,35.13826315789473,7.014001170353701,2.9157515707386823,0.8651768807798705,24.73452631578947,15.14145700229076,3.76609238051036,0.8707032845409853,16.689894736842106,11.979132431993413
CMP-iNi-acetylneuraminate_biosynthesis_I_eukaryotes,17.02165242652098,2.3652029198556352,39.251000000000005,4.311768631446548,13.9704218399151,2.092764377498253,41.45325,4.96919222493272,15.148504128867941,2.526574153408062,42.59075,17.265936961589134,5.122164026073066,1.4587675586813666,24.896,11.110937552300088,5.792781312043553,1.45835986386034,25.427499999999995,19.867562604992766
CMP_phosphorylation,11.142320776030443,1.4192640800063907,42.271,11.623409879114721,10.5650377016219,1.160555848609092,38.449,15.025156556824511,10.072563944653451,1.1707549225197569,20.96825,8.8150966399361,4.552971836146732,1.2566729085792654,22.917875000000002,18.7356169143044,7.0831386279606745,1.0556154284832997,15.8305,10.736727876968988
D-galactose_degradation_V_Leloir_pathway,8.878581517444273,0.7965887756156907,49.03066666666667,11.18068699214801,8.626325513940012,0.9485958621083798,44.0,4.789984577701169,8.727580123308762,1.145419450387545,32.521166666666666,2.8070980550120845,3.8669517907574757,1.0177178429471334,21.278166666666664,27.674116142457674,4.406072285157177,1.0617166607872,15.083999999999998,10.218704483611274
D-glucuronate_degradation,1.9034177431189518,0.2804959760890486,8.768,1.4178295952523408,1.8283510329756374,0.3029559037208371,8.270999999999999,1.2738039318358576,1.4712982685457692,0.3116302055549398,5.7905,3.3579795871027605,2.0429644971377106,0.48322479902682175,13.1435,5.182870324730378,2.1981244005313623,0.5048878694120474,8.032,6.847691717464512
D-imyoi-inositol-5-phosphate_metabolism,3.3066087420969734,0.633708709684201,14.405529411764707,1.7147626546492636,3.6952265113099827,0.7747898917490735,13.178941176470591,1.3446656191444493,3.9742450523084076,0.8556445150400237,14.300882352941173,2.214807594198673,5.49719369579789,1.0048265991681187,21.335941176470584,13.810143884618162,4.3227073698626945,0.9632003361846404,15.696,13.886940139269093
D-imyoi-inositol_134-trisphosphate_biosynthesis,6.930302504337492,0.7506585209443586,34.683800000000005,9.964184958831856,6.941210950650179,0.7987573636103613,40.02953333333333,8.479719471877281,8.193983715159012,1.0266794578150922,36.6324,11.084157017791584,3.9061500654896926,0.8763424072431861,16.929199999999998,11.080963144620057,3.878875016447117,0.9126199164642036,12.754666666666667,9.460562036107582
D-imyoi-inositol_145-trisphosphate_biosynthesis,5.492825306059881,1.015863043231633,21.575519999999997,3.2037148238363105,5.440598556333199,1.1414831654856625,21.211800000000004,2.756315598252948,5.879501062969386,1.157029940354788,27.041880000000003,4.345640841041596,5.436673110890865,1.04602566404278,19.001079999999998,12.491013555266308,4.888854273143682,1.0557045438669739,15.07576,11.705800504391686
D-imyoi-inositol_145-trisphosphate_degradation,4.404729612823327,0.581046636719292,25.79215384615385,4.902182383325756,4.936825121219027,0.6640848786597463,25.990384615384617,4.1267931626228265,6.932729998430966,1.0333248374490631,21.67376923076923,5.537977420318569,4.049598326424031,1.0100486914462032,17.010076923076927,10.08105656179765,4.694984741590282,1.0036143624183658,12.973307692307694,10.503197922440261
D-imyoi-inositol_1456-tetrakisphosphate_biosynthesis,7.341802142488018,1.351913474041859,72.80133333333333,34.26912696918345,5.987065103993987,1.5603820003663544,101.479,30.119910957209996,7.415144624667371,1.7603055842814557,101.65066666666667,38.87958181934085,2.44213622573259,0.7297813754854572,12.174,10.390918402185047,2.9382294712814434,0.7529147797550444,8.543,8.34766464725425
D-imyoi-inositol_3456-tetrakisphosphate_biosynthesis,1.3134013896239571,1.9207609114607456,42.007999999999996,14.187578101252996,2.197427781337741,2.1077768651923687,41.9815,8.890147705013499,2.9479354675274956,1.4649783924389022,34.1965,9.661256374397874,1.5777673149278764,0.5442270700111782,10.6105,8.399699176694112,2.4620080943614955,0.6573453095266154,7.655,6.5007855292768895
D-mannose_degradation,24.632164198405896,1.6965097072210562,16.839,13.911929940515531,20.80127493853622,1.6618988059772226,19.259,22.829540066382172,16.931753019049246,2.0736290086806903,20.381999999999998,19.132638693325823,9.099396558153236,2.2334480799241536,12.116,2.7357297687861273,12.16039044431312,2.422757020814494,9.591000000000001,5.933923157829612
GABA_shunt,1.9459128818849876,0.4808478205760549,10.984714285714286,1.4323662273552835,2.131004222045582,0.9448534498023454,7.47357142857143,1.0692875436125835,2.087276693655403,1.1019104724142277,6.352571428571428,1.5437758421368732,4.931795504592459,0.6545533356145607,31.361000000000008,20.18082368082369,3.7291476598326248,0.7278929506223552,10.823714285714285,7.966144464304489
GDP-L-fucose_biosynthesis_II_from_L-fucose,11.276934348982271,0.785523900006408,12.518,1.3042640202130706,8.912686321502475,0.6269746684092469,16.627499999999998,1.5407317491278216,7.89113196798084,0.5291433873032172,35.3885,2.810920081177793,4.576554280422278,1.1562521853431331,10.2235,9.587827065553784,6.208918773059809,1.4939662519328392,9.035,5.527346139728373
GDP-L-fucose_biosynthesis_I_from_GDP-D-mannose,2.9823240056157103,0.35230609478051617,28.6345,15.5280496732735,3.0521634915184865,0.35391946696198506,33.06,21.445947260873798,2.5765794013079035,0.40226572196291316,10.5075,8.212834141003597,1.052578542539766,0.21464647706703577,5.1215,1.9707930888521183,1.139687503944176,0.2607704888272229,4.1765,2.8821337381823198
GDP-glucose_biosynthesis_II,5.183560981540473,0.982269280766664,18.182000000000002,6.354343229594422,5.058323487238274,0.9754378010781759,14.235999999999999,2.4195385042461464,3.881409904913768,0.9723898795562758,19.6895,2.4122292962416942,3.6564630161428293,0.6673102910598584,12.795166666666669,12.269421936679935,3.5620658224462027,0.807443386409008,13.2435,12.336365894553811
GDP-mannose_biosynthesis,12.787131061971678,1.0860133479159588,18.590166666666665,13.271106986483915,11.32420132494406,0.8752078868166163,17.730166666666666,16.80425236154551,8.113906791997008,0.877665831793653,17.720166666666668,11.987259710242968,4.912996526122157,1.1380170182140834,17.8325,6.4746960684050325,5.1651529442695985,1.224114110853371,13.419833333333331,9.927258380697578
L-carnitine_biosynthesis,0.9190907453810637,2.1186364775507647,18.856333333333332,18.451627633896532,1.1257051433716359,2.222618948749761,14.918666666666667,18.767192217376717,1.3767444227377357,1.5405952173105977,10.836333333333334,11.838674435542607,1.7549274980409546,0.6884777930323177,11.649000000000001,7.728388509254961,2.9736477339124314,0.7478466026853102,13.621333333333332,16.476090637851787
L-cysteine_degradation_I,2.0312452936968874,2.975818859415659,20.4865,3.2557012316249505,2.9109975756054545,3.1482293178242653,15.648499999999999,2.000306785716568,3.2694484050716515,1.593339829843593,16.854,2.2362127413972677,7.88123225739748,1.3278964293470636,28.384500000000003,28.753988755508285,4.286260131085992,0.9145842667287062,20.8945,21.342696629213485
L-cysteine_degradation_II,2.0200994580758898,2.8941966317782817,25.256,13.47957195847677,3.437758244478775,3.1447670592861017,32.3155,12.460909634256849,4.097620451485629,1.895712153204138,25.187,3.9217731827134923,8.364545756073513,1.42029110090283,34.8245,11.001958740087828,5.001373237847357,0.9978105393947417,18.572499999999998,16.32962588473205
L-dopachrome_biosynthesis,0.826262217846756,1.4272931604745231,9.012,0.934786893067931,0.9851722022566876,1.4057812929390556,4.978,0.6333816830801334,0.7803788420112698,0.7870805636129063,4.117,0.8686753597501794,4.559145588654613,0.7898643162332636,8.686,7.981988605035839,3.3063149277139843,0.7021378518379737,18.087,19.862727871732925
L-glutamine_tRNA_biosynthesis,5.848946676276981,0.6828015733870771,18.607,13.533840055278759,4.812091893276301,0.6027641714676735,29.700000000000003,20.145153632232248,4.333133930509047,0.57217691821984,20.476,6.941958231624627,2.1687538094393597,0.6140760479476006,7.2945,2.4186007957559683,4.109361084499574,0.6655620663182789,16.366500000000002,5.359476054031929
L-kynurenine_degradation,5.888703547337961,1.4751792555741796,31.9635,4.7747479938096395,6.1913318244744655,1.772839116774457,28.018899999999995,3.5938253552921857,7.7876625315966335,1.7131839016048813,33.4101,5.462888929221381,5.25693599551979,1.3654195278059449,18.63,13.172221672299449,5.682700570365175,1.2776690535408466,14.8709,10.317842473357016
L-serine_degradation,19.461439335612038,1.781172628732822,14.756,12.053586015356968,17.055344121696336,1.4728135669420603,10.228,11.259357111404668,15.14341021745017,1.706739153863042,8.419,7.227229805133489,9.334260305206106,2.308894845523903,44.138999999999996,31.523353806599058,10.243973047330693,2.4816684133487024,17.16,12.894499549143372
NADH_repair,0.846396744647904,0.04425140905936642,7.545999999999999,5.303626651672757,1.0903809684313341,0.04600489705350873,10.637,14.481960517358749,1.6036655634546693,0.07439523965117831,27.601999999999997,19.578663640232655,0.6476610563356656,0.17928370778649305,5.256,4.982462792681771,0.6303002584264427,0.14173949153207271,4.058,1.1585679209729913
NAD_biosynthesis_from_2-amino-3-carboxymuconate_semialdehyde,18.202159482580583,2.1942371360565405,20.37875,4.12329155158983,14.93606176771614,1.6915687307496712,22.945999999999998,3.3462027831552392,14.151343520141733,1.5483585998229037,22.55725,8.93710380348653,5.682196236368737,1.2913544998734554,33.45475,34.775343676099894,6.255738904809762,1.3316759454685692,19.9,19.850374064837904
NAD_ide_novoi_biosynthesis,11.141776759395576,1.904521878561008,26.696363636363632,3.129535887462034,9.709599470199121,1.754792809967925,26.098636363636363,2.46987770412399,10.589147712725373,1.5716755140630316,33.562909090909095,4.7686779419324665,5.0153110073304115,1.2081774239104979,20.00890909090909,18.67262793538754,5.576147905100498,1.235369765447851,13.299818181818182,12.387113162016849
NAD_phosphorylation_and_dephosphorylation,2.197759159674657,0.27649059923590547,61.3,51.76490457692957,2.3753661726910225,0.26199108691444806,112.49699999999999,119.43624588597513,2.3739947231032907,0.25574372229017506,83.774,46.96641811963895,2.224239623232711,0.6686691485694837,17.208000000000002,16.538202787121577,4.524850038563266,0.9994267908022488,14.802,13.2172515403161
NAD_salvage,4.612553740101917,0.897362400413773,25.276999999999997,2.9805088376443947,4.808086456023205,0.7529072603599793,24.710666666666665,1.8254662040536913,4.715438196896197,0.7032358599851817,19.654666666666667,4.823862427802411,4.345684270578177,0.9880955865184237,36.580666666666666,27.449224612306153,5.319192922781145,0.9393232648042138,19.706666666666667,18.87069488333493
PRPP_biosynthesis,3.3605550293869872,0.38033401405570416,24.433666666666667,19.80465794877337,3.1442487146997617,0.45475837704554106,24.762333333333334,20.686995265942635,2.599684082571294,0.4557250569455794,15.323333333333332,6.788345959036607,8.93186505928586,1.313395397493874,21.493,14.24194902151345,5.768220272670535,1.0677634488577386,12.520666666666665,8.835622882950695
Rapoport-Luebering_glycolytic_shunt,12.054087179702503,0.8856461835433915,75.82000000000001,25.859040602991083,8.727174734283178,0.9321554638126667,119.56049999999999,29.255285308799056,9.875633841537155,1.313126748135019,128.5035,59.65669320582159,4.521366321103896,1.1350767343014392,13.348500000000001,10.371391942814965,4.882032406060939,1.0643507985600869,9.793999999999999,12.094344282538897
S-adenosyl-L-methionine_biosynthesis,2.8185936851163262,0.2863540541412409,25.10166666666667,16.97396596416094,3.5594200186060028,0.258505970710807,31.681,23.747688771175852,4.188070670526046,0.26640734815429973,20.451333333333334,12.782349632284006,4.783164783854251,1.1000283947973701,17.421333333333333,15.183312997501597,5.327210618247309,1.3046598186536844,17.346,7.859775253745769
S-reticuline_biosynthesis,0.826262217846756,1.4272931604745231,9.012,0.934786893067931,0.9851722022566876,1.4057812929390556,4.978,0.6333816830801334,0.7803788420112698,0.7870805636129063,4.117,0.8686753597501794,4.559145588654613,0.7898643162332636,8.686,7.981988605035839,3.3063149277139843,0.7021378518379737,18.087,19.862727871732925
TCA_cycle,10.223895218912482,1.0838443039903933,45.86972222222222,6.403707636238412,8.961122950364171,0.9499522545787649,50.988833333333325,5.836492809621255,7.260377941600067,0.9139662104571517,39.78805555555556,7.696668396895047,4.800444991936899,1.2755378192802131,19.34488888888889,9.654342552159145,5.096214873897885,1.216105286746818,14.952944444444446,11.868253492309863
UDP-D-xylose_and_UDP-D-glucuronate_biosynthesis,1.5209137496476464,2.529848699209671,20.2045,3.067865195836528,2.31329455037622,2.9489352527318538,22.7125,4.87895256916996,2.946106678377424,2.002045903094185,23.753,11.988895899053627,2.433779197785997,0.7675563087999794,16.763,11.942435792398392,4.067599251656379,0.9793137856579659,17.91,11.798418972332014
UDP-iNi-acetyl-D-galactosamine_biosynthesis_I,11.724360858998175,0.8413460425820117,85.321,5.094581845540204,15.853092606228888,0.870616515208907,107.955,3.769931344680435,19.810810884505848,1.1671671172920473,56.2,2.7102884865787673,1.7872349490875639,0.4334124301977131,6.762,5.829812914906458,1.6398382050421414,0.43312518251054294,4.154,2.9214431394612843
UDP-iNi-acetyl-D-galactosamine_biosynthesis_II,4.034700512086718,0.969079716235757,27.742624999999997,4.81666836669365,5.126691771620144,1.0242713220965107,28.763375000000003,4.681205561941187,6.479676786061103,1.2115675413624498,22.655250000000002,5.148423163671692,3.2032829309593494,0.9255974687840586,20.173125,12.217806041335452,3.687347259413303,0.923399035974853,13.595125000000003,11.164478479115555
UDP-iNi-acetyl-D-glucosamine_biosynthesis_II,2.9369973317466913,0.9460786739397091,23.3686,6.9289568878609975,2.9330312595070454,0.8540493069356816,31.294999999999998,10.438416842891737,3.6778467474767984,1.2284743054545644,34.248400000000004,15.654693885013758,4.655709358466543,1.1216088907532082,13.5512,7.53061995687643,5.679577506639113,1.1954102415161993,11.7698,10.501998715111712
UMP_biosynthesis,17.37951526011514,1.204495810485807,20.586,2.488260357175233,10.599458606850133,0.8874153920017892,15.988999999999999,2.2170301862199975,6.697561005678579,0.6431439792080482,23.650000000000006,1.3610453288521471,5.033463090922241,0.7263506478343995,15.4605,15.979844961240309,4.136157239229356,0.9887090405686983,15.216999999999999,15.37458954281384
UTP_and_CTP_dephosphorylation_I,9.116934491904798,1.2368630083789254,42.60666666666667,5.086533142850321,8.519620245244072,1.251757096278947,56.475,5.97737119148756,7.8000351277551685,1.2211462862591558,29.26533333333333,8.202397301867578,7.008060600563545,1.9582700245205336,52.99566666666667,47.087726572680964,7.979812587371517,1.6235106193140294,33.79533333333333,22.996801778301993
UTP_and_CTP_dephosphorylation_II,7.282711716673884,1.9641414170613067,42.7515,6.524854626760885,7.8170696542320774,1.7295821838586556,51.70075,6.741678157996824,7.839655574120541,1.616163713923221,41.51375,11.378072261088235,7.005731744899364,1.770020170586238,47.67125,47.297598968151604,7.470237284055473,1.5911465639413043,28.10125,28.27016423128191
UTP_and_CTP_ide_novoi_biosynthesis,11.007113201197296,1.4855784584680116,44.3744,8.360098570427365,10.601000795416546,1.2245433052229668,44.61579999999999,9.31253574455117,9.700702955560685,1.1951364046636805,23.664300000000004,8.26660006148171,5.134409260940621,1.4373398253321275,31.858999999999998,26.120571620657707,7.294267777249888,1.1576048186907948,21.059,15.2713217644798
acetate_conversion_to_acetyl-CoA,4.803529437502785,0.8150643009314026,15.246666666666664,1.3498916899321807,4.854246444223961,1.0005702984196083,16.677333333333333,1.4474799579920672,5.835695548702908,1.3731140716985901,12.847666666666667,1.133074437843034,5.321350899442053,0.9494596726784109,18.430000000000003,9.072411925897972,4.862677107798646,1.0966920179029336,16.39,12.482863670982484
acetone_degradation_I_to_methylglyoxal,2.6623501103584934,0.8957302291464443,14.645928571428572,3.1078893520272826,2.686074710923072,1.7147099782382653,10.21407142857143,1.2191850898208698,2.6811317434413184,1.3607821437058838,12.162928571428571,1.4115213886344518,7.579772979384844,1.2651606350407762,39.446071428571436,31.397894090490432,5.482735629237171,1.13936017273191,17.486142857142855,16.683999972739226
acetyl-CoA_biosynthesis_from_citrate,12.181323470695403,0.7893993288642415,53.787,47.0536261044528,7.975988420265267,0.5789378168610769,43.665000000000006,43.5474219607061,4.166354078031349,0.725577299784538,40.345,39.041029610992844,2.9158619856472883,0.8694386450675738,24.966,8.005772005772005,3.159935199791224,0.744728175055627,26.332,16.453386653336665
acyl-CoA_hydrolysis,2.8988602769870675,2.413880539883891,38.603,3.3358105130354385,3.5708272840050816,3.3059673498767808,44.897,3.9713407487671653,3.8980687408373704,2.067661981494786,59.97416666666666,7.262245686688825,3.670759995457099,1.0368131551622546,26.511833333333332,22.22717491546265,4.172936650942444,1.0634548532983974,33.250499999999995,25.863128419196762
acyl_carrier_protein_metabolism,8.599534299510626,0.5532239033260509,6.662000000000001,6.433606953162725,6.229942794068709,0.4033055801633751,6.697,8.460080848913591,3.8035187603149607,0.26458591526223657,6.107,5.282871972318339,4.287177197211222,1.0848126876079403,4.671,1.9744684448577585,5.153204647861701,1.268347747030696,7.352,4.542196960336093
adenine_and_adenosine_salvage_I,17.233499050447165,1.2606318979135718,6.834999999999999,6.1360983930334845,19.699825461743593,1.1503731952811969,11.866,11.893354715846446,11.570721895074543,0.8442166031897178,16.185,13.095719718423819,2.5508143822057114,0.7402359886254719,4.394,1.5001707067258452,2.2486571892353755,0.577891949300291,3.5919999999999996,2.7743878890862748
adenine_and_adenosine_salvage_II,4.693714940602863,0.3188699427133788,68.648,58.38407892498724,4.248260917227629,0.230826796837533,83.275,111.5240391053971,5.183580620920947,0.2781428408049731,159.871,174.17038893125616,2.6165518667087113,0.8890174423755365,37.213,38.88912112028425,3.986597645772451,1.0468353846637353,37.086,15.057247259439707
adenine_and_adenosine_salvage_III,11.000133943931516,2.119935403289283,39.635,3.1905559222707,8.334422541471541,1.9944612829963184,42.04333333333333,3.1542909160022803,6.563045850956919,2.15009901217293,30.418000000000003,2.768301080879387,7.6701843912740415,1.6199070125941208,30.037666666666667,15.866082118459047,7.807542455388858,1.4236283660914553,15.643,13.490772149715403
adenosine_deoxyribonucleotides_ide_novoi_biosynthesis,12.451684469527326,1.422603442806271,52.394666666666666,9.483598100673936,14.189192160247885,1.3242638188700544,59.572,14.512333431679584,13.32074493011313,1.39912521263181,31.713444444444445,9.284791823218079,4.415815035235992,1.2381332965044527,23.662444444444443,20.451943761524277,5.904853202820695,1.3496817119410345,17.843444444444444,10.335171801291002
adenosine_nucleotides_degradation,2.1535883545076326,0.702788512745407,9.845875,1.50461985745968,2.6552300888294122,0.9032865756178726,8.857749999999998,1.288613206912416,2.314423572232895,0.7741440614037239,10.922125000000003,3.3459958106602237,4.733716219317477,0.9210299314788892,22.13975,13.019361667720261,5.015838139804326,0.9841440992889834,9.898124999999999,8.368826557033998
adenosine_ribonucleotides_ide_novoi_biosynthesis,9.333727369625109,1.1765035614658068,56.888777777777776,18.04102932730085,7.7801052315236845,1.0757799801792853,44.50977777777778,13.152618946773966,6.180436437795777,0.9915090815858706,38.62688888888889,13.43004164509724,4.9380444331694715,1.0382742570600147,36.09111111111111,26.703387043735614,4.785833126087459,1.0614108548464949,25.472666666666665,23.030418709314475
alanine_biosynthesisdegradation,12.51097315473422,0.9519975823923233,45.3155,41.79047355558629,14.637932546333774,1.161112138276675,42.125499999999995,43.506842241156725,20.42395342501332,1.4947984488230945,29.052,24.228171128346258,7.67344888283368,1.6862261234432687,25.361,8.976868484859212,5.793229464118844,1.471804601485329,21.3865,14.537266764096115
allopregnanolone_biosynthesis,3.1876780705645458,0.9213075146952778,8.5175,4.046927091169692,2.849331271766584,0.6672399569271587,8.333166666666665,3.283984998456496,3.3071667002125316,0.72334392620041,6.508166666666667,3.253242912247669,3.154204877906183,0.6651011007461793,14.528666666666666,9.57365958661893,3.942739550270252,0.7617351127255376,9.749666666666668,7.084741246714869
alpha-tocopherol_degradation,2.589399998163206,4.551485397478109,21.118,17.529675437868345,2.598332821273979,3.915607963675603,17.453,17.86935599467595,2.4448950960835445,2.2151989387547135,17.459000000000003,17.04813983009472,16.006483662860813,1.9432897772096693,39.327999999999996,7.05878129767567,9.5968710926763,1.6661896717766531,19.917,12.147474993900952
anandamide_degradation,4.063145529348778,1.3745810854857854,19.119,3.1563046851784593,3.3521129038115287,1.3607919547490184,14.428,1.474381246295653,2.7563980547462266,0.9961902150742229,18.127,11.463352937456522,5.8846570169354315,1.0800751069872754,57.326,22.446454442225615,4.954582680310112,1.1109854809203734,26.759999999999998,18.895636209574917
